Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2023-30453312-8,(PM) 2023-051049030-001,01/11/2023 13:00:18,"AVENIDA ILDO HORTA, Nº 554 - CENTRO - CLARO DOS POCOES",-17.0805834,-44.2047451,W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta),7BBM/1CIA/1PEL,Desconhecido,Não,Não,Não,ATENDIDA PELO SAMU,Classificada,02/11/2023 15:22:59,Não
2025-37693552-9,(BM) 2025-004924350-001,01/02/2025 08:28:44,"RUA ANALIA DO VALE MOREIRA, Nº 75 - CICERO PASSOS - PIRAPORA",-17.3295826,-44.9276096,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/2PEL(PIRAPORA),BM1362540,Não,Não,Não,Desconhecido,Terminada,01/02/2025 08:45:31,Não
2025-37710879-9,(BM) 2025-005073300-001,02/02/2025 11:06:36,"RUA JOSE EUDES DE LORENA, Nº 67 - NOVA PIRAPORA - PIRAPORA",-17.3344745,-44.9250735,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),UR04334,Não,Não,Não,Desconhecido,Terminada,02/02/2025 13:01:40,Não
2025-37715643-0,(BM) 2025-005119081-001,02/02/2025 18:08:35,"AVENIDA PIO XII, Nº S/N - SANTA TEREZINHA - PIRAPORA",-17.3426696,-44.9254821,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),BM1551704,Não,Não,Não,Desconhecido,Terminada,02/02/2025 18:18:12,Não
2025-37737280-1,(BM) 2025-005345446-001,04/02/2025 00:12:23,"RUA CORONEL SERRAO, Nº 105 - CENTRO - JANUARIA",-15.4870784,-44.3630782,S04014 - SALVAMENTO DE PESSOA COM OBJETO PRESO AO CORPO (C) (Prioridade: 1 - Alta),7BBM/1CIA/8PEL(JANUARIA),ABTS03690,Não,Não,Não,Desconhecido,Terminada,04/02/2025 00:14:06,Não
2025-37739689-5,(BM) 2025-005367160-001,04/02/2025 08:25:56,"LUGAREJO BRU0174 - CORREGO DO FEIJAO, Nº S/N - BRUMADINHO",-20.1357485,-44.1091274,S04006 - ROMPIMENTO DE BARRAGENS (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,BM1322197,Não,Não,Não,Desconhecido,Em controle,04/02/2025 08:28:22,Não
2025-37746254-2,Desconhecido,04/02/2025 16:38:28,OUTRO MOC0306 - QUILOMBOLA DE MONTE ALTO - MONTES CLAROS,0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),7BBM/1CIA/2PEL,Desconhecido,Sim,Não,Não,Desconhecido,Atribuída ao órgão,04/02/2025 16:38:28,Não
2025-37749473-2,(BM) 2025-005479462-001,04/02/2025 19:58:06,"AVENIDA PIO XII, Nº S/N - SANTA TEREZINHA - PIRAPORA",-17.3426696,-44.9254821,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),ABTS-03610,Não,Não,Não,Desconhecido,Terminada,04/02/2025 20:00:17,Não
2025-37766679-4,(BM) 2025-005665158-001,05/02/2025 21:34:59,"PRACA CASTELO BRANCO, Nº S/N - CENTRO - TRES MARIAS",-18.2054722,-45.228617,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),UR04341,Não,Não,Não,Desconhecido,Terminada,05/02/2025 21:35:41,Não
2025-37770575-2,Desconhecido,06/02/2025 05:39:47,"RUA VEREADOR PAULO ALVES DA SILVA, Nº 138 - ALTO SAO JOAO - MATO VERDE",0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),7BBM/1CIA/7PEL(JANAUBA),Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,06/02/2025 05:39:47,Não
